Feature,V1,User-Visible,Perspectives,Key Files,Description
Persona topic exploration,Ceremony - Explore,No,"Learning, Persona",prompts/persona/topics-exploration.ts,Generate new topics personas might care about
Extraction frequency throttling,Only Ei,No,Learning,extraction-frequency.ts,Min 10 messages between fact/trait extractions
Message splitting,Ceremony Where Appropriate,No,Learning,extraction.ts,Only analyze messages since last extraction
Cross-persona validation,Ceremony - Exposure - Step 3,No,"Learning, Persona",extraction.ts,Queue global changes by non-Ei personas for Ei validation
Skip signals,Ceremony - Exposure - Step 3,No,Learning,extraction.ts,LLM can return {skip: true} for irrelevant items
Known persona filtering,Ceremony - Exposure - Step 1,No,Learning,extraction.ts,Exclude AI personas from people bucket
Description regeneration,Ceremony - Description,No,"Learning, Persona",extraction.ts,Auto-regenerate persona descriptions when traits change
Local LLM provider,Setup,Yes,LLM,llm.ts,LM Studio / Ollama / local models (default)
OpenAI provider,Setup,Yes,LLM,llm.ts,GPT-4o and other OpenAI models
Anthropic provider,Setup,Yes,LLM,llm.ts,Claude models
Google provider,Setup,Yes,LLM,llm.ts,Gemini models
xAI provider,Setup,Yes,LLM,llm.ts,Grok models
Model routing by operation,Setup,No,LLM,llm.ts,Different default models for response vs concept vs generation
Per-persona model override,Persona Editor / Persona Setup,Yes,"LLM, Persona",llm.ts; app.ts,Override model for specific persona via /model
Temperature per operation,Internal,No,LLM,llm.ts,"0.3 for extraction, 0.7 for response, 0.5 for generation"
JSON parsing and repair,Internal,No,LLM,llm.ts,Handle malformed JSON from LLMs
LLM abort support,Pause (system and persona),Yes,"LLM, BE",llm.ts,Cancel in-progress LLM calls
Provider status display,Human Editor - Settings,Yes,LLM,llm.ts,Show which providers are configured (/model --list)
Message processing flow,Near Pause for system/ on icon for persona,No,BE,processor.ts,Human message -> response -> extraction trigger
Priority queue,Internal,No,BE,llm-queue.ts,LLM tasks queued by priority (high/normal/low)
Persistent queue,Internal/Storage,No,BE,llm-queue.ts,Queue survives app restart
Queue pause on typing,"FE can send ""PausePersona"" and ""resumePersona"" as required - web won't need it",No,BE,queue-processor.ts,Suspend background work during user input
Debouncing,"I don't think. I want to deal with this specifically - ""up"" to pull back the last sent messages is fine",No,BE,app.ts,2-second debounce on message processing
Retry logic,Internal,No,BE,llm-queue.ts,Failed LLM calls retry with backoff
Idle/busy state transitions,Events,No,BE,queue-processor.ts,Queue processor state machine
Event handler callbacks,Events,No,BE,processor.ts,"Callbacks for UI updates (onMessageAdded, etc.)"
Topic exposure decay,Ceremony - Decay,No,"Scheduled, Data",topic-decay.ts,exposure_current decays logarithmically over time
Desire gap detection,Heartbeat,No,"Scheduled, Learning",topic-decay.ts,Identify topics that are under or over-discussed
Stale message processing,N/A ! We fixed this with Ceremony,No,"Scheduled, Learning",app.ts,Process concepts from old unprocessed messages
Background queue processing,Core to Processor,No,"Scheduled, BE",queue-processor.ts,Continuous LLM task processing in background
